x,y,Floor,Room #,Teacher
33,28,1,null,
33,29,1,null,
33,30,1,null,
33,31,1,null,
33,32,1,null,
33,33,1,null,
33,34,1,null,
33,35,1,null,
33,36,1,null,
33,37,1,null,
34,0,1,null,
34,1,1,null,
34,2,1,null,
34,3,1,null,
34,4,1,null,
34,5,1,null,
34,6,1,null,
34,7,1,null,
34,8,1,null,
34,9,1,null,
34,10,1,null,
34,11,1,null,
34,12,1,null,
34,13,1,null,
34,14,1,null,
34,15,1,null,
34,16,1,null,
34,17,1,null,
34,18,1,null,
34,19,1,null,
34,20,1,null,
34,21,1,null,
34,22,1,null,
34,23,1,null,
34,24,1,null,
34,25,1,null,
34,26,1,null,
34,27,1,null,
34,28,1,null,
34,29,1,null,
34,30,1,null,
34,31,1,null,
34,32,1,null,
34,33,1,null,
34,34,1,null,
34,35,1,null,
34,36,1,null,
34,37,1,null,
35,0,1,null,
35,1,1,null,
35,2,1,null,
35,3,1,null,
35,4,1,null,
35,5,1,null,
35,6,1,null,
35,7,1,null,
35,8,1,null,
35,9,1,null,
35,10,1,null,
35,11,1,null,
35,12,1,null,
35,13,1,null,
35,14,1,null,
35,15,1,null,
35,16,1,null,
35,17,1,null,
35,18,1,null,
35,19,1,null,
35,20,1,null,
35,21,1,null,
35,22,1,null,
35,23,1,null,
35,24,1,null,
35,25,1,null,
35,26,1,null,
35,27,1,null,
35,28,1,null,
35,29,1,null,
35,30,1,null,
35,31,1,null,
35,32,1,null,
35,33,1,null,
35,34,1,null,
35,35,1,null,
35,36,1,null,
35,37,1,null,
36,0,1,null,
36,1,1,null,
36,2,1,null,
36,3,1,null,
36,4,1,null,
36,5,1,null,
36,6,1,null,
36,7,1,null,
36,8,1,null,
36,9,1,null,
36,10,1,null,
36,11,1,null,
36,12,1,null,
36,13,1,null,
36,14,1,null,
36,15,1,null,
36,16,1,null,
36,17,1,null,
36,18,1,null,
36,19,1,null,
36,20,1,null,
36,21,1,null,
36,22,1,null,
36,23,1,null,
36,24,1,null,
36,25,1,null,
36,26,1,null,
36,27,1,null,
36,28,1,null,
36,29,1,null,
36,30,1,null,
36,31,1,null,
36,32,1,null,
36,33,1,null,
36,34,1,null,
36,35,1,null,
36,36,1,null,
36,37,1,null,
37,0,1,null,
37,1,1,null,
37,2,1,null,
37,3,1,null,
37,4,1,null,
37,5,1,null,
37,6,1,null,
37,7,1,null,
37,8,1,null,
37,9,1,null,
37,10,1,null,
37,11,1,null,
37,12,1,null,
37,13,1,null,
37,14,1,null,
37,15,1,null,
37,16,1,null,
37,17,1,null,
37,18,1,null,
37,19,1,null,
37,20,1,null,
37,21,1,null,
37,22,1,null,
37,23,1,null,
37,24,1,null,
37,25,1,null,
37,26,1,null,
37,27,1,null,
37,28,1,null,
37,29,1,null,
37,30,1,null,
37,31,1,null,
37,32,1,null,
37,33,1,null,
37,34,1,null,
37,35,1,null,
37,36,1,null,
37,37,1,null,
38,0,1,null,
38,1,1,null,
